Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214878,"1,514,239,759","190,692"
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/23,USQX92302957,"333,202,114","108,322"
Anti-Hero,Midnights,Taylor Swift,10/21/22,USUG12205736,"1,563,224,246","117,005"
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/22,UYB282201028,"1,692,951,462","209,490"
Magnetic,SUPER REAL ME,ILLIT,3/25/24,USA2P2413259,"255,076,355","11,500"
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/23,USSD12300307,"275,349,653","37,806"
La Diabla,La Diabla - Single,Xavi,12/2/23,USA2P2357356,"649,404,552","27,544"
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/23,GBAYE2300015,"851,085,705","129,047"
Snooze,SOS,SZA,12/9/22,USRC12204591,"1,013,350,808","108,036"
BELLAKEO,BELLAKEO,Peso Pluma,12/7/23,QMFMF2388143,"359,803,580","26,065"
Agora Hills,Scarlet,Doja Cat,9/22/23,USRC12301954,"509,653,100","66,219"
Prada,Prada,cassï¿,8/11/23,GBCEN2300147,"609,699,748","128,498"
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/24,GXD7G2413058,"5,157,486",470
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/23,USAR12300323,"242,070,373","37,170"
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/23,QMFME2364182,"478,150,858","73,306"
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/20,USSM12002399,"61,382,407","7,240"
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/23,GBBKS2300080,"460,156,070","163,449"
Training Season,Training Season,Dua Lipa,2/15/24,GBAHT2301078,"251,153,869","16,811"
Type Shit,WE DON'T TRUST YOU,Future,3/22/24,USSM12402033,"205,206,688","28,064"
Armageddon,Armageddon - The 1st Album,aespa,5/27/24,KRA302400093,"32,942,304","1,262"
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/19,USAT21906978,"1,911,559,785","317,345"
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/21,USSM12104539,"2,014,959,725","354,831"
Pedro,Pedro - Single,Jaxomy,3/29/24,DEE862400427,"168,145,583","27,654"
Fast Car,Gettin' Old,Luke Combs,3/24/23,US6XF2200436,"518,988,585","73,116"
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/24,JPU902305042,"247,399,972","22,222"
Aesthetic,Aesthetic,Tollan Kim,3/4/22,SGB502208576,"5,712,985","2,311"
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/18,USUM71814888,"3,358,704,125","392,082"
Hands,Hands,Dianï¿½,8/1/22,GBKPL2205333,"126,914",8
Saturn,Saturn - Single,SZA,2/24/24,USRC12400216,"343,090,427","21,104"
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/24,BXT622400190,,
Believer,Believer,Imagine Dragons,1/31/17,USUM71700626,"3,006,226,762","335,880"
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/22,USSM12203789,"787,155,930","183,850"
I KNOW ?,UTOPIA,Travis Scott,7/28/23,USSM12305012,"532,605,345","128,534"
ANDO,ANDO,Jere Klein,9/27/23,QMDA72363047,"292,789,738","28,591"
First Class,First Class,Jack Harlow,4/8/22,USAT22203024,"818,858,244","223,609"
FE!N,UTOPIA,Travis Scott,7/28/23,USSM12305010,"659,010,786","129,923"
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/23,USUG12301493,"3,913,988",545
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/24,CA5KR2465999,"126,247,886",5
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/22,USUM72206227,"1,607,421,145","212,406"
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/23,USUG12305253,"438,796,949","23,959"
Drained of Color,Drained of Color,Exhumed,8/30/22,US2642250302,"158,627",635
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/20,USQX92003025,"1,867,736,006","302,486"
Dynamite,Dynamite,BTS,8/21/20,QM7282022872,"1,872,577,908","144,619"
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/23,GXBAV2381801,"8,327",3
Someone You Loved,Breach,Lewis Capaldi,11/8/18,DEUM71807062,"3,427,498,835","338,763"
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/23,USQX92302824,"230,849,195","23,091"
Made You Look,Takin' It Back,Meghan Trainor,10/21/22,USSM12204574,"720,720,922","74,295"
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/23,QZMEQ2306756,"1,378,494",351
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/24,INS182401602,"2,827,545",62
vampire,vampire,Olivia Rodrigo,6/30/23,USUG12304091,"998,964,097","90,793"
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/24,BCAEW2400001,"37,157,630","2,052"
Back,Back,LOLA,8/3/22,UKQNV2100272,"48,428",92
People,People - Single,Libianca,12/5/22,QZTB52268087,"631,955,547","121,823"
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/24,ATR981312465,,1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/24,TCAIA2495220,"94,635,338","10,537"
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/24,UKWLG2400013,"114,574,238","10,564"
Abc,Abc,J Ross,2/14/23,CLLU22300585,"31,867",5
La Bachata,La Bachata,Manuel Turizo,5/26/22,QZDYA1800087,"1,721,045,197","156,941"
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/23,FRX282306294,"8,028,757","1,972"
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/21,USUM72102636,"1,612,286,123","282,719"
Don't Start Now,Don't Start Now,Dua Lipa,10/31/19,GBAHT1901121,"2,607,121,959","270,230"
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/18,USUG11800685,"2,548,389,305","339,306"
PROVENZA,PROVENZA,KAROL G,4/22/22,USUM72205906,"1,185,929,926","103,026"
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/20,USAT22005111,"1,325,725,696","171,255"
SPOT!,SPOT!,ZICO,4/26/24,USA2P2421932,"77,757,035","3,407"
Family Matters,Family Matters,Drake,5/3/24,USUG12402984,"72,335,127","8,696"
Again,Missing,Kurochuu,6/9/24,CA5KR2466577,"136,237,285",2
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/23,USA2P2330093,"1,673,557,134","54,950"
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/23,USUG12300802,"922,010,059","107,189"
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/24,IEACJ2300335,"532,012,790","22,396"
Bad Habits,#NAME?,Ed Sheeran,1/1/20,GBAHS2100318,"1,754,311,538","271,758"
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/23,USUG12305257,"850,810,162","56,104"
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/21,USAT22100906,"1,312,168,384","248,793"
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/22,JPKI02118106,"548,408",130
good 4 u,good 4 u,Olivia Rodrigo,5/14/21,USUG12101245,"2,167,768,056","309,421"
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/19,USUM71900764,"2,516,804,300","296,739"
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/18,USUM71911283,"2,738,293,818","251,033"
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/22,USSM12207207,"1,003,487,432","126,402"
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/20,USUM72007941,"1,638,836,101","272,933"
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/23,GBAHS2201304,"372,423,476","44,730"
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/23,USWB12304903,"630,373,315","70,400"
Circles,Circles,Post Malone,8/30/19,USUM71915699,"2,481,391,466","332,437"
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/23,DGA062382895,"474,590,289","24,891"
About Damn Time,About Damn Time,Lizzo,4/14/22,USAT22202139,"847,025,688","104,052"
Closer,Closer,The Chainsmokers,7/29/16,USQX91601347,"2,880,536,961","285,381"
FLOWER,ME,JISOO,3/31/23,KRA402300002,"440,364,356","26,107"
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/23,QMFME2364199,"689,181,455","61,138"
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/23,USUG12306085,"372,248,119","68,037"
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/17,USSM11706905,"2,072,182,782","194,332"
LUNA,FERXXOCALIPSIS,Feid,12/1/23,USUM72318216,"606,124,553","40,628"
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/22,USUM72208023,"827,950,825","118,965"
Bones,Bones,Imagine Dragons,3/11/22,USUM72201759,"1,227,475,431","180,053"
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/23,USSD12300400,"571,366,508","32,236"
Selfish,Selfish,Justin Timberlake,1/25/24,USRC12400001,"92,932,220","8,847"
golden hour,golden hour,JVKE,7/15/22,GBKPL2204171,"1,126,986,320","200,887"
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/20,GBAHT2000942,"2,074,721,986","255,296"
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/24,QZSYP2454435,"89,362,910","7,377"
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/23,USWD12328242,"26,674,909","2,673"
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/23,USUG12306072,"406,875,019","85,930"
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214888,"1,421,763,497","152,592"
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/20,USSM11914962,"1,237,874,594","276,882"
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/22,QMDA62217995,"804,925,777","128,247"
Stargazing,Stargazing,Myles Smith,5/10/24,GBARL2400510,"106,599,323","9,406"
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/22,USUG12204897,"971,473,231","239,671"
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/20,USUM72013339,"1,125,681,368","251,023"
Memories,Memories,Maroon 5,9/20/19,USUM71913350,"2,011,072,164","222,804"
Classy 101,Classy 101,Feid,3/31/23,USUM72304895,"872,148,396","90,726"
Whatever,Whatever,Kygo,1/19/24,USRC12302637,"222,354,971","17,551"
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/24,USRC12400299,"207,093,873","23,181"
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/23,DEA622301801,"361,517,395","119,783"
"yes, and?","yes, and?",Ariana Grande,1/12/24,USUM72400048,"416,813,996","22,468"
